temple_name,address,prefecture,latitude,longitude,maps_url,regions
Chinese Garden Enchoen,"565-1 Hikiji, Yurihama, Tōhaku District, Tottori 689-0715, Japan",Tottori,35.4658923,133.8930304,http://maps.google.com/?cid=5776007563566089153,Tottori
Chionin Temple,"400 Rinkacho, Higashiyama Ward, Kyoto, 605-8686, Japan",Kyoto,35.0051988,135.7833827,http://maps.google.com/?cid=6959033030999210364,Kyoto
Chionji Temple,"466 Monju, Miyazu, Kyoto 626-0001, Japan",Kyoto,35.558751,135.1840924,http://maps.google.com/?cid=12974015211063939968,Kyoto
Chomeiji,"157 Chomeijicho, Omihachiman, Shiga 523-0808, Japan",Shiga,35.1627722,136.0638583,http://maps.google.com/?cid=10009300024038772718,Shiga
Chureito Pagoda,"2-chome-4-1 Asama, Fujiyoshida, Yamanashi 403-0011, Japan",Yamanashi,35.5012626,138.8013852,http://maps.google.com/?cid=15733293726462568345,Yamanashi
Covo Ishigama Pizza and Sake,"1 Chome-6-1 Miyakojimahondori, Miyakojima Ward, Osaka, 534-0021, Japan",Osaka,34.7088922,135.5238629,http://maps.google.com/?cid=12980235056815838605,Osaka
Creative Local Cuisine Kikufuji Main Store,"Japan, 〒036-8016 Aomori, Hirosaki, Sakamotocho, １",Aomori,40.601002,140.474201,http://maps.google.com/?cid=5866198681123875778,Aomori
Curry Honpo Mojiko Retro,"Japan, 〒801-0852 Fukuoka, Kitakyushu, Moji Ward, Minatomachi, 9−2 阿波屋ビル 1階",Fukuoka,33.9459954,130.9616205,http://maps.google.com/?cid=17407638278329582353,Fukuoka
Daigo-ji Temple,"22 Daigohigashiojicho, Fushimi Ward, Kyoto, 601-1325, Japan",Kyoto,34.9511172,135.8193543,http://maps.google.com/?cid=10444538046545984314,Kyoto
Daihō-in Temple,"20 Hanazonooyabucho, Ukyo Ward, Kyoto, 616-8023, Japan",Kyoto,35.0241736,135.7181911,http://maps.google.com/?cid=11167950175767546864,Kyoto
Daikozenji Temple,"3628 Sonobe, Kiyama, Miyaki District, Saga 841-0203, Japan",Saga,33.4292197,130.4958663,http://maps.google.com/?cid=12570560826364124217,Saga
Daitoku-ji Temple,"53 Murasakino Daitokujicho, Kita Ward, Kyoto, 603-8231, Japan",Kyoto,35.043891,135.74603,http://maps.google.com/?cid=11501919056162110113,Kyoto
Dewasanzan Shrine,"Haguroyama-３３番地 Haguromachi Touge, Tsuruoka, Yamagata 997-0211, Japan",Yamagata,38.7023491,139.981353,http://maps.google.com/?cid=11809270136321769675,Yamagata
Drive In Nanakoshi (Food Vending Machines),"853 Kamiochiai, Fujioka, Gunma 375-0057, Japan",Gunma,36.2624925,139.0410163,http://maps.google.com/?cid=897334893506194049,Gunma
Dōkutsu-kannon (Cave of Kannon),"Japan, 〒370-0864 Gunma, Takasaki, Ishiharamachi, 2857 山徳記念館",Gunma,36.3048085,138.9880498,http://maps.google.com/?cid=18175848237127704905,Gunma
EL FARO,"Japan, 〒900-0015 Okinawa, Naha, Kumoji, 3 Chome−18−12 永寿ビルⅡ ２階",Okinawa,26.2152637,127.6812488,http://maps.google.com/?cid=7271311992841066740,Okinawa
Echizen Ono Castle,"3-109 Shiromachi, Ono, Fukui 912-0087, Japan",Fukui,35.9865864,136.4830622,http://maps.google.com/?cid=659859002049027610,Fukui
Enkoji Temple (Circle of Light Temple),"11-11 Furukawacho Tonomachi, Hida, Gifu 509-4224, Japan",Gifu,36.2359152,137.186331,http://maps.google.com/?cid=3099521049285328814,Gifu
Enkōji Temple,"13 Ichijoji Kotanicho, Sakyo Ward, Kyoto, 606-8147, Japan",Kyoto,35.045091,135.797065,http://maps.google.com/?cid=16379541971888387186,Kyoto
Ennoji,"Japan, 〒843-0024 Saga, Takeo, 武雄町10513",Saga,33.2075881,130.0178665,http://maps.google.com/?cid=13054655762041658104,Saga
Enoshima Samuel Cocking Garden,"2 Chome-3-28 Enoshima, Fujisawa, Kanagawa 251-0036, Japan",Kanagawa,35.2997233,139.4790267,http://maps.google.com/?cid=18248893223885874848,Kanagawa
Enoshima Sea Candle,"2 Chome-3-28 Enoshima, Fujisawa, Kanagawa 251-0036, Japan",Kanagawa,35.2997417,139.478425,http://maps.google.com/?cid=3849556319847112627,Kanagawa
Enzoji Temple,"Jikemachiko-176 Yanaizu, Kawanuma District, Fukushima 969-7201, Japan",Fukushima,37.5330356,139.7247142,http://maps.google.com/?cid=10498019881678015747,Fukushima
Eshima,"884-4 Iwaya, Awaji, Hyogo 656-2401, Japan",Hyogo,34.589819,135.021552,http://maps.google.com/?cid=9371064783142762123,Hyogo
FUKAGAWA - SEIJI Honten,"1 Chome-1-8 Kobira, Arita, Nishimatsuura District, Saga 844-0005, Japan",Saga,33.1902,129.897485,http://maps.google.com/?cid=6757989537523172351,Saga
Felice,"Japan, 〒152-0035 Tokyo, Meguro City, Jiyugaoka, 1 Chome−12−6 自由が丘センタービル B1F",Tokyo,35.6079218,139.6695466,http://maps.google.com/?cid=18037814423298883690,Tokyo
Former Sanji Muto House,"4-2051 Higashimaikocho, Tarumi-ku, Kobe, Hyogo 655-0047, Japan",Hyogo,34.630218,135.0362105,http://maps.google.com/?cid=350912090242417210,Hyogo
Fuji Cemetery,"888ｰ2 Omika, Oyama, Sunto District, Shizuoka 410-1308, Japan",Shizuoka,35.3696018,138.9079469,http://maps.google.com/?cid=2437507438453619846,Shizuoka
Fuji Motosuko Resort,"212 Motosu, Fujikawaguchiko, Minamitsuru District, Yamanashi 401-0338, Japan",Yamanashi,35.4422866,138.6030233,http://maps.google.com/?cid=5989262945502519020,Yamanashi
Fujiharu Shokudo,"Donomae-22-3 Oyashinmachi, Yokote, Akita 013-0051, Japan",Akita,39.2768844,140.5579449,http://maps.google.com/?cid=6458289727715849441,Akita
Fujikake,"6 Chome-44-5 Higashinippori, Arakawa City, Tokyo 116-0014, Japan",Tokyo,35.7287721,139.7762507,http://maps.google.com/?cid=9800655687079627755,Tokyo
Fujiki Ningyocho,"1 Chome-5-14 Nihonbashiningyocho, Chuo City, Tokyo 103-0013, Japan",Tokyo,35.6851309,139.7822642,http://maps.google.com/?cid=16699112066698497051,Tokyo
Fujisaki Hachimangu,"3-1 Igawabuchimachi, Chuo Ward, Kumamoto, 860-0841, Japan",Kumamoto,32.8083094,130.7185242,http://maps.google.com/?cid=15158021118067722985,Kumamoto
Fujisan Shiraito Soba,"1199-12 Hara, Fujinomiya, Shizuoka 418-0105, Japan",Shizuoka,35.3156389,138.5808111,http://maps.google.com/?cid=1822582476669581162,Shizuoka
Fujiya 1935,"2 Chome-4-14 Yariyamachi, Chuo Ward, Osaka, 540-0027, Japan",Osaka,34.6830376,135.5119325,http://maps.google.com/?cid=18313300881791018697,Osaka
Fujiya Restaurant,"5-49 Kiyosecho, Kiryu, Gunma 376-0026, Japan",Gunma,36.4074711,139.326724,http://maps.google.com/?cid=2306166651657069051,Gunma
Fukuchi-in Temple (Pilgrim's Lodging),"657 Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",Wakayama,34.2159553,135.5848399,http://maps.google.com/?cid=18092342302952396879,Wakayama
Fushimi Jikkoku-bune Boats,"Japan, 〒612-8043 Kyoto, Fushimi Ward, 南兵町247",Kyoto,34.9284192,135.7615568,http://maps.google.com/?cid=15681363716833939988,Kyoto
Futagoji,"1548 Akimachi Futago, Kunisaki, Oita 873-0356, Japan",Oita,33.5740013,131.603241,http://maps.google.com/?cid=6473643876238977855,Oita
GR8,"Japan, 〒150-0001 Tokyo, Shibuya, Jingumae, 1 Chome−11−6 2.5 F",Tokyo,35.6692707,139.7052181,http://maps.google.com/?cid=14748545559255114070,Tokyo
GRAND MARBLE - Kyoto Station,"Japan, 〒600-8215 Kyoto, Shimogyo Ward, Higashishiokojicho, JR京都駅「京名菓・名菜処 亰（みやこ）」内",Kyoto,34.9848501,135.7581435,http://maps.google.com/?cid=12522838770411925711,Kyoto
Gabusoga Shokudo Maejima Route 58,"3 Chome-3-3 Maejima, Naha, Okinawa 900-0016, Japan",Okinawa,26.2227621,127.6834139,http://maps.google.com/?cid=1521362144600180424,Okinawa
Garou Waterfall,"Fujikoto, Fujisato, Yamamoto District, Akita 018-3201, Japan",Akita,40.3198424,140.2953737,http://maps.google.com/?cid=12788169696889351771,Akita
Genhouin,"77 Okazaki Hoshojicho, Sakyo Ward, Kyoto, 606-8333, Japan",Kyoto,35.0151251,135.7887798,http://maps.google.com/?cid=1785696643093388285,Kyoto
Genji,"2 Chome-4-8 Ichibancho, Aoba Ward, Sendai, Miyagi 980-0811, Japan",Miyagi,38.2593046,140.8733374,http://maps.google.com/?cid=14546183385722770776,Miyagi
